url,desc_video,like_count,comment_count,like,video_time,watched_time,user
https://www.tiktok.com/@damduc.review/video/7161000043476946202?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Trả lời @GKVN 🧤🧤🧤 Ví da mở bằng vân tay ư?? #dcgr #damduc #learnontiktok #thanhcongnghe,56200,440,0,76,2.0,MSI I5
https://www.tiktok.com/@tan_tai_hai_doi/video/7153572504034921754?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Lên đời,776400,3660,0,244,2.0,MSI I5
https://www.tiktok.com/@tuanbrice/video/7145657539118648602?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,"Review quán ăn ngon , mà chưa kịp ăn bị mời ra 😓 bùn quá 🫣😂 #LearnOnTikTok #AnCungTikTok #ReviewAnNgon #tuanbrice",478800,8376,0,99,2.0,MSI I5
https://www.tiktok.com/@kieuduylong16/video/7166881905080601882?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Báoo nữaaa 🐆,435200,2404,0,15,3.0,MSI I5
https://www.tiktok.com/@melon.228/video/7166981577333837083?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Thử thách troll anh bạn cùng phòng rơi vào vòng lặp thời gian và cái kết… :v #vulaci #melon228 #G#GrabHonCaMotChuyenXe ThuthachdiGrabBike,559200,3248,0,242,2.0,MSI I5
https://www.tiktok.com/@anhtraimucoi/video/7161712292520791297?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cũng Là Vị Nha Đam Nhưng Nó Lạ Lắm #anhtraimucoi #learnontiktok #ancungtiktok #svm #dcgr,290600,498,0,167,44.0,MSI I5
https://www.tiktok.com/@melon.228/video/7166981577333837083?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Thử thách troll anh bạn cùng phòng rơi vào vòng lặp thời gian và cái kết… :v #vulaci #melon228 #G#GrabHonCaMotChuyenXe ThuthachdiGrabBike,559200,3248,1,242,8.0,MSI I5
https://www.tiktok.com/@anhtraimucoi/video/7161712292520791297?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cũng Là Vị Nha Đam Nhưng Nó Lạ Lắm #anhtraimucoi #learnontiktok #ancungtiktok #svm #dcgr,290600,498,0,167,2.0,MSI I5
https://www.tiktok.com/@hat590/video/7166561497362042139?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cái này cũng ngon lắm nè con #hat590 #beatoflife,78200,1004,0,14,2.0,MSI I5
https://www.tiktok.com/@cuoi3112/video/7167969394121837825?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,MỘT NGÀY CỦA BỐ 😌 #cuội #cuoi3112 #cuoiofficial #cuoihangnhat #theanh28,13100,151,0,77,-89.0,MSI I5
https://www.tiktok.com/@cutrangkhonggia/video/7166596783974534443?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,cũng nói đạo lý mà nó lạ lắm 🤔 #xuhuong #cutrangkhonggia #beatoflife #rap #fyp #bingchilling,549700,7739,0,18,3.0,MSI I5
https://www.tiktok.com/@muyn_2006/video/7165715264754027803?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,"#CapCut ơ động đất à, không phải. ĐẤY LÀ 11A5 ĐANG ĐI LÊN🏆🏆 #xh",128500,1138,0,21,19.0,MSI I5
https://www.tiktok.com/@damduc.review/video/7161000043476946202?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Trả lời @GKVN 🧤🧤🧤 Ví da mở bằng vân tay ư?? #dcgr #damduc #learnontiktok #thanhcongnghe,56200,440,0,76,2.0,MSI I5
https://www.tiktok.com/@tan_tai_hai_doi/video/7153572504034921754?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Lên đời,776400,3660,0,244,2.0,MSI I5
https://www.tiktok.com/@tuanbrice/video/7145657539118648602?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,"Review quán ăn ngon , mà chưa kịp ăn bị mời ra 😓 bùn quá 🫣😂 #LearnOnTikTok #AnCungTikTok #ReviewAnNgon #tuanbrice",478800,8376,0,99,2.0,MSI I5
https://www.tiktok.com/@kieuduylong16/video/7166881905080601882?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Báoo nữaaa 🐆,435200,2404,0,15,3.0,MSI I5
https://www.tiktok.com/@melon.228/video/7166981577333837083?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Thử thách troll anh bạn cùng phòng rơi vào vòng lặp thời gian và cái kết… :v #vulaci #melon228 #G#GrabHonCaMotChuyenXe ThuthachdiGrabBike,559200,3248,0,242,2.0,MSI I5
https://www.tiktok.com/@anhtraimucoi/video/7161712292520791297?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cũng Là Vị Nha Đam Nhưng Nó Lạ Lắm #anhtraimucoi #learnontiktok #ancungtiktok #svm #dcgr,290600,498,0,167,44.0,MSI I5
https://www.tiktok.com/@melon.228/video/7166981577333837083?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Thử thách troll anh bạn cùng phòng rơi vào vòng lặp thời gian và cái kết… :v #vulaci #melon228 #G#GrabHonCaMotChuyenXe ThuthachdiGrabBike,559200,3248,1,242,8.0,MSI I5
https://www.tiktok.com/@anhtraimucoi/video/7161712292520791297?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cũng Là Vị Nha Đam Nhưng Nó Lạ Lắm #anhtraimucoi #learnontiktok #ancungtiktok #svm #dcgr,290600,498,0,167,-8.0,MSI I5
https://www.tiktok.com/@melon.228/video/7166981577333837083?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Thử thách troll anh bạn cùng phòng rơi vào vòng lặp thời gian và cái kết… :v #vulaci #melon228 #G#GrabHonCaMotChuyenXe ThuthachdiGrabBike,559200,3248,1,242,8.0,MSI I5
https://www.tiktok.com/@anhtraimucoi/video/7161712292520791297?is_from_webapp=1&sender_device=pc&web_id=7166535341736920578,Cũng Là Vị Nha Đam Nhưng Nó Lạ Lắm #anhtraimucoi #learnontiktok #ancungtiktok #svm #dcgr,290600,498,0,167,,MSI I5
